"3. Запускается серия автопингов клиенту

После вопроса про размер или город запускается цепочка сообщений.

Вот когда и что отправляется:

Через сколько	Сообщение
15 минут	Пинг 2
1 час	Пинг 7
2 часа	Пинг 3
4 часа	Пинг 4
6 часов	Пинг 5
8 часов	Пинг 6
24 часа	Пинг 10
36 часов	Пинг 13
48 часов	Пинг 11
54 часа	Пинг 14
72 часа	Пинг 15
96 часов	Пинг 16
110 часов	Пинг 17
134 часа	Пинг 8
158 часов	Пинг 1
182 часа	Пинг 9
206 часов	Пинг 12

То есть бот будет писать клиенту почти 9 дней подряд.",,,,,,,,,,,,,,,,,,,,,,,,
Условие отправки,Раздел,Название,Фраза,,,,,,,,,,,,,,,,,,,,,
"Если клиент ничего не отвечает после цены, его пингует бот этими пингами",Пинги для бота Знает цену,ЗЦ.Пинг 2,"Я Вам стоимость отправила, а вы мне что-то не отвечаете)) Жду ответаа",,,,,,,,,,,,,,,,,,,,,
,Пинги для бота Знает цену,ЗЦ.Пинг 7,"Хочу честно сказать — эта толстовка стоит каждого рубля

Мы делаем всё сами в Казани, выбираем плотную, дышащую ткань, которая носится долго и не теряет вид. Каждое изделие проверяем и перед отправкой показываем вам фото — вы точно получите то, что заказали.

Если размер не подойдет — меняем за наш счёт. Всё индивидуально: дизайн, посадка, детали.

Честно, что для вас важнее: качество или цена?

[clip-228420497_456239100]",,,,,,,,,,,,,,,,,,,,,
,Пинги для бота Знает цену,ЗЦ.Пинг 3,[audio_message569993513_687712211],,,,,,,,,,,,,,,,,,,,,
,Пинги для бота Знает цену,ЗЦ.Пинг 4,"[Имя], в какой город нужна будет доставочка? Я вам помогу рассчитать сроки и стоимость",,,,,,,,,,,,,,,,,,,,,
,Пинги для бота Знает цену,ЗЦ.Пинг 5,"У нас всё сделано так, чтобы Вам было спокойно и удобно оформить заказ 

Не нужно оплачивать всю сумму сразу - сначала вносите всего 500₽, и мы уже запускаем работу над Вашим дизайном ✍️

Дальше дизайнер делает макет, а Вы спокойно смотрите и вносите любые правки - всё бесплатно, пока результат полностью не понравится 

Как Вам такой вариант оплаты? Удобно будет?

[photo-228420497_456240580]",,,,,,,,,,,,,,,,,,,,,
,Пинги для бота Знает цену,ЗЦ.Пинг 6,"Cижу и жду Вашего ответа...
[photo-228420497_456239993]",,,,,,,,,,,,,,,,,,,,,
,Пинги для бота Знает цену,ЗЦ.Пинг 10,"Михаил уже получил свою толстовку и в восторге! 

«Очень хорошая, так что советую Вам всем!»

Наши толстовки мы отправляем по всей России!Не хватает только вашего заказа!

Отзывы других клиентов здесь: https://vk.com/reviews-44440184

Пишите «+» прямо сейчас — и мы подберем Вам индивидуальный дизайн

[video-44440184_456240651]",,,,,,,,,,,,,,,,,,,,,
